hier,connnecting_hier,direction,connections,wns,tns
u_fm/u_frontend/u_ct,is_ct_resolve_vx0_rid,to,10,0,0
u_fm/u_frontend/u_ct,is_ct_resolve_vx0_uid,from,9,0,0
